Date,Open,High,Low,Close,Volume
2025-01-23,603.984,607.922,603.704,607.922,41275860
2025-01-24,607.982,608.949,604.981,606.147,34708761
2025-01-27,593.027,597.892,592.857,597.573,70572725
2025-01-28,598.819,603.555,595.459,602.707,44566948
2025-01-29,601.91,602.319,597.423,600.006,37289234
2025-01-30,602.149,604.781,598.914,603.226,39399387
2025-01-31,605.679,608.131,599.248,600.016,66871975
2025-02-03,590.893,598.49,588.72,595.978,66055304
2025-02-04,596.038,600.494,595.489,599.976,33558434
2025-02-05,598.839,602.558,596.785,602.408,30745333
2025-02-06,604.173,604.634,600.823,604.502,35879080
2025-02-07,605.07,606.307,598.251,598.969,50941255
2025-02-10,602.219,603.684,600.933,603.036,26127051
2025-02-11,600.743,604.043,600.624,603.495,30147131
2025-02-12,597.403,602.737,596.715,601.551,45211635
2025-02-13,602.668,608.111,601.391,607.902,41044361
2025-02-14,608.111,609.158,607.244,607.872,26991377
2025-02-18,609.048,609.657,606.556,609.657,26829473
2025-02-19,608.251,611.391,607.732,611.092,31104333
2025-02-20,609.706,609.85,605.2,608.55,36663932
2025-02-21,608.331,608.47,597.673,598.141,76749940
2025-02-24,600.215,601.222,594.702,595.399,50889797
2025-02-25,595.36,596.097,587.792,592.458,58441699
2025-02-26,594.143,597.782,590.081,592.757,43451861
2025-02-27,595.06,596.227,582.897,583.296,74419799
2025-02-28,583.804,592.937,580.694,592.398,89010991
2025-03-03,594.392,595.549,578.161,582.02,74472492
2025-03-04,577.972,583.635,570.534,575.13,109977963
2025-03-05,574.961,583.126,571.361,581.312,71444743
2025-03-06,573.755,578.434,568.411,570.993,80335741
2025-03-07,569.188,575.659,563.934,574.193,81402889
2025-03-10,565.888,567.832,553.924,558.899,99625334
2025-03-11,557.723,562.329,550.365,554.253,88367063
2025-03-12,560.484,561.422,552.03,557.194,69797443
2025-03-13,556.815,557.429,548.032,549.767,74302197
2025-03-14,554.443,562.139,549.838,561.123,62848762
2025-03-17,561.103,568.002,560.664,565.449,49156095
2025-03-18,563.107,563.326,557.384,559.338,66240031
2025-03-19,561.142,569.238,559.946,565.43,66756142
2025-03-20,561.641,568.859,560.914,563.794,63147532
2025-03-21,559.28,564.89,558.03,563.98,83762964
2025-03-24,570.8,575.15,570.2,574.08,58766795
2025-03-25,575.3,576.41,573.69,575.46,38355735
2025-03-26,575.19,576.33,567.19,568.59,52228898
2025-03-27,567.18,570.9,564.94,567.08,42164248
2025-03-28,565.53,566.267,555.07,555.66,71662653
2025-03-31,549.83,560.711,546.87,559.39,95328213
2025-04-01,557.45,562.94,553.68,560.97,54609641
2025-04-02,555.05,567.42,554.81,564.52,76014544
2025-04-03,545.11,547.97,536.7,536.7,125985998
2025-04-04,523.67,525.87,505.06,505.28,217965131
2025-04-07,489.19,523.17,481.8,504.38,256611355
2025-04-08,521.86,524.98,489.16,496.48,165816581
2025-04-09,493.44,548.62,493.05,548.62,241867317
2025-04-10,532.17,533.495,509.32,524.58,162331225
2025-04-11,523.01,536.43,520.07,533.94,97866334
2025-04-14,544.05,544.28,533.86,539.12,68033993
2025-04-15,539.675,543.23,536.81,537.61,56892874
2025-04-16,531.68,537.885,520.29,525.66,83484814
2025-04-17,527.64,531.165,523.91,526.41,79868083
2025-04-21,521.16,521.7,508.46,513.88,69368129
2025-04-22,520.14,529.305,519.192,527.25,75948117
2025-04-23,540.43,545.43,533.88,535.42,90590658
2025-04-24,536.715,547.43,535.45,546.69,64150418
2025-04-25,546.65,551.05,543.69,550.64,61119590
2025-04-28,551.39,553.55,545.02,550.85,47613755
2025-04-29,548.91,555.45,548.55,554.32,47775121
2025-04-30,547.57,556.52,541.52,554.54,93101463
2025-05-01,560.37,564.069,557.86,558.47,63186146
2025-05-02,564.73,568.38,562.38,566.76,60717270
2025-05-05,562.57,566.65,561.7,563.51,38659222
2025-05-06,557.93,563.347,556.96,558.8,48264708
2025-05-07,560.15,563.82,556.04,561.15,55733229
2025-05-08,565.24,570.31,561.7,565.06,65130787
2025-05-09,566.48,567.5,562.763,564.34,37603427
2025-05-12,581.47,583,577.04,582.99,78993570
2025-05-13,583.41,589.08,582.84,586.84,67947225
2025-05-14,587.81,588.98,585.535,587.59,66283531
2025-05-15,585.56,590.97,585.096,590.46,71268145
2025-05-16,591.25,594.5,589.28,594.2,76052101
2025-05-19,588.1,595.54,588.1,594.85,68168509
2025-05-20,593.09,594.05,589.6,592.85,60614492
2025-05-21,588.44,592.58,581.82,582.86,95197657
2025-05-22,582.66,586.62,581.405,583.09,70860417
2025-05-23,575.98,581.8101,575.6,579.11,76029046
2025-05-27,586.07,591.31,578.43,591.15,72588475
2025-05-28,591.56,592.7688,586.985,587.73,68445512
2025-05-29,593.06,593.2,586.07,590.05,70073758
2025-05-30,588.93,591.1299,583.235,589.39,90601242
2025-06-02,587.76,592.79,585.06,592.71,61630502
2025-06-03,592.34,597.08,591.85,596.09,63606204
2025-06-04,596.96,597.95,595.49,595.93,57314199
2025-06-05,597.63,599,591.05,593.05,92436397
2025-06-06,598.66,600.83,596.86,599.14,66588743
2025-06-09,599.72,601.25,598.49,599.68,53016418
2025-06-10,600.22,603.47,599.09,603.08,66246973
2025-06-11,604.19,605.06,599.27,601.36,73658225
2025-06-12,600.01,603.75,599.52,603.75,64129003
2025-06-13,598.5,601.85,595.48,597,89505996
2025-06-16,600.4,604.45,600.22,602.68,79984125
2025-06-17,600.21,601.75,596.76,597.53,82209365
2025-06-18,598.44,601.22,596.47,597.44,76605029
2025-06-20,598.38,599.46,592.86,594.28,94051374
2025-06-23,595.04,600.54,591.89,600.15,87426039
2025-06-24,604.33,607.8499,603.41,606.78,67735293
2025-06-25,607.91,608.61,605.54,607.12,62114767
2025-06-26,608.99,612.31,608.37,611.87,78548361
2025-06-27,612.88,616.39,610.83,614.91,86258398
2025-06-30,617.38,619.22,615.04,617.85,92502541
2025-07-01,616.36,618.83,615.52,617.65,70030140
2025-07-02,617.24,620.49,616.61,620.45,66510374
2025-07-03,622.45,626.28,622.43,625.34,51065789
2025-07-07,623.36,624.03,617.87,620.68,74814505
2025-07-08,621.35,622.11,619.52,620.34,59024585
2025-07-09,622.77,624.72,620.9105,624.06,66113326
2025-07-10,624.2,626.8701,623.01,625.82,57528960
2025-07-11,622.74,624.86,621.53,623.62,63670226
2025-07-14,623.16,625.1581,621.7999,624.81,51898518
2025-07-15,627.52,627.86,622.06,622.14,74317260
2025-07-16,623.74,624.73,618.05,624.22,88987511
2025-07-17,624.4,628.4048,624.18,628.04,68885683
2025-07-18,629.3,629.47,626.46,627.58,65621645
2025-07-21,628.77,631.54,628.34,628.77,63374984
2025-07-22,629.1,629.73,626.19,628.86,60046288
